Invoice,,,Parts,,Labor,,Sublet,,HazMat & Fees,,Shop Supplies,,Discount,,Subtotal,,Tax,Total,Shop Name,Shop Identifier
Date,Number,URL,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed
01/14/2022,21600,https://autohousenwa.shop-ware.com/work_orders/47255222,123.63,0.00,96.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,223.95,0.00,24.63,248.58,AutoHouse Automotive,NWA
01/14/2022,21625,https://autohousenwa.shop-ware.com/work_orders/47782664,346.63,0.00,300.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,0.00,0.00,660.13,0.00,72.61,732.74,AutoHouse Automotive,NWA
01/14/2022,21500,https://autohousenwa.shop-ware.com/work_orders/45580153,215.44,0.00,780.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1020.44,0.00,112.25,1132.69,AutoHouse Automotive,NWA
01/14/2022,21653,https://autohousenwa.shop-ware.com/work_orders/47990679,70.40,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,101.75,0.00,11.19,112.94,AutoHouse Automotive,NWA
01/17/2022,21649,https://autohousenwa.shop-ware.com/work_orders/47966141,92.18,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,123.53,0.00,13.59,137.12,AutoHouse Automotive,NWA
01/17/2022,21633,https://autohousenwa.shop-ware.com/work_orders/47793273,576.28,0.00,420.00,0.00,0.00,0.00,0.00,0.00,18.90,0.00,99.63,0.00,915.55,0.00,100.71,1016.26,AutoHouse Automotive,NWA
01/18/2022,21688,https://autohousenwa.shop-ware.com/work_orders/48566729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/18/2022,21571,https://autohousenwa.shop-ware.com/work_orders/46806519,54.39,0.00,150.00,0.00,0.00,0.00,0.00,0.00,6.75,0.00,0.00,0.00,211.14,0.00,23.23,234.37,AutoHouse Automotive,NWA
01/18/2022,21693,https://autohousenwa.shop-ware.com/work_orders/48576855,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,4.05,0.00,0.00,0.00,94.05,0.00,10.35,104.40,AutoHouse Automotive,NWA
01/18/2022,21416,https://autohousenwa.shop-ware.com/work_orders/44380651,774.93,0.00,2610.00,0.00,350.00,0.00,0.00,0.00,25.00,0.00,338.49,0.00,3421.44,0.00,376.36,3797.80,AutoHouse Automotive,NWA
01/19/2022,21605,https://autohousenwa.shop-ware.com/work_orders/47268002,731.65,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,2256.65,0.00,248.23,2504.88,AutoHouse Automotive,NWA
01/19/2022,21661,https://autohousenwa.shop-ware.com/work_orders/48077496,105.40,0.00,384.00,0.00,0.00,0.00,0.00,0.00,17.28,0.00,0.00,0.00,506.68,0.00,55.73,562.41,AutoHouse Automotive,NWA
01/19/2022,21689,https://autohousenwa.shop-ware.com/work_orders/48567365,40.20,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,71.55,0.00,7.87,79.42,AutoHouse Automotive,NWA
